waktu,aktual
14-Jan,1172.71
14-Feb,1066.78
14-Mar,1162.53
14-Apr,1276.31
14-Mei,1176.18
14-Jun,1228.98
14-Jul,1257.54
14-Agu,1241.54
14-Sep,1053
14-Okt,1352.29
14-Nov,1880.29
14-Des,1380.29
15-Jan,2671.71
15-Feb,3617.8
15-Mar,3930.48
15-Apr,4770.81
15-Mei,4650.8
15-Jun,3950.03
15-Jul,3385.36
15-Agu,3658.04
15-Sep,3930.48
15-Okt,3722.36
15-Nov,2722.3
15-Des,1722.6
16-Jan,2677.67
16-Feb,3680.42
16-Mar,4030.92
16-Apr,5060.46
16-Mei,5070.88
16-Jun,6400.37
16-Jul,6108.28
16-Agu,8570.3
16-Sep,9190.23
16-Okt,8739.07
16-Nov,7367.62
16-Des,7867.62
17-Jan,5909.9
17-Feb,5359.2
17-Mar,3976.7
17-Apr,3413.1
17-Mei,2205.65
17-Jun,1823
17-Jul,2449
17-Agu,1284
17-Sep,1269.5
17-Okt,2030.8
17-Nov,3901
17-Des,5370.5
18-Jan,6682.5
18-Feb,6816.2
18-Mar,7896.6
18-Apr,6779.8
18-Mei,5649.1
18-Jun,4856.6
18-Jul,3555
18-Agu,3475
18-Sep,3200
18-Okt,2610
18-Nov,2960
18-Des,2530
